Go.	Ṛuḥ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #8325200 (Yagurten)
You must go to Harajuku.	Yessefk ad teddum ɣer Harajuku.	CC-BY 2.0 (France) Attribution: tatoeba.org #69458 (CM) & #4103722 (Amastan)
You must go to Harajuku.	Yessefk ad teddumt ɣer Harajuku.	CC-BY 2.0 (France) Attribution: tatoeba.org #69458 (CM) & #4103723 (Amastan)
You must go up the hill.	Yessefk ad talyed tiɣilt-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #16214 (Swift) & #4112255 (Amastan)
You must go up the hill.	Yessefk ad talyem tiɣilt-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #16214 (Swift) & #4112256 (Amastan)
You must go up the hill.	Yessefk ad talyemt tiɣilt-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #16214 (Swift) & #4112257 (Amastan)
You must make an effort.	Yessefk ad tgeḍ ussis.	CC-BY 2.0 (France) Attribution: tatoeba.org #687950 (lukaszpp) & #1736602 (Amastan)
You must make an effort.	Yessefk ad tged ussis.	CC-BY 2.0 (France) Attribution: tatoeba.org #687950 (lukaszpp) & #4104013 (Amastan)
You must make an effort.	Yessefk ad tgem ussis.	CC-BY 2.0 (France) Attribution: tatoeba.org #687950 (lukaszpp) & #4104016 (Amastan)
You must make an effort.	Yessefk ad tgemt ussis.	CC-BY 2.0 (France) Attribution: tatoeba.org #687950 (lukaszpp) & #4104017 (Amastan)
You must miss Tom a lot.	Iban kan tejjmed Tom aṭas.	CC-BY 2.0 (France) Attribution: tatoeba.org #3178330 (CK) & #4112660 (Amastan)
You must miss Tom a lot.	Iban kan tejjmem Tom aṭas.	CC-BY 2.0 (France) Attribution: tatoeba.org #3178330 (CK) & #4112662 (Amastan)
You must miss Tom a lot.	Iban kan tejjmemt Tom aṭas.	CC-BY 2.0 (France) Attribution: tatoeba.org #3178330 (CK) & #4112663 (Amastan)
You must not tell a lie.	Ur yessefk ara ad teskerksed.	CC-BY 2.0 (France) Attribution: tatoeba.org #16306 (Eldad) & #4112258 (Amastan)
You must not tell a lie.	Ur yessefk ara ad teskerksem.	CC-BY 2.0 (France) Attribution: tatoeba.org #16306 (Eldad) & #4112259 (Amastan)
You must not tell a lie.	Ur yessefk ara ad teskerksemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #16306 (Eldad) & #4112260 (Amastan)
You must pay in advance.	Yessefk ad teszerwred lexlaṣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #273598 (CK) & #3616717 (Amastan)
You must pay in advance.	Yessefk ad teszewrem lexlaṣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #273598 (CK) & #4103766 (Amastan)
You must pay in advance.	Yessefk ad teszewremt lexlaṣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #273598 (CK) & #4103768 (Amastan)
You must read this book.	Yessefk ad teɣred adlis-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #645080 (CK) & #2430924 (Amastan)
You must read this book.	Yessefk ad teɣrem adlis-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #645080 (CK) & #4104009 (Amastan)
You must read this book.	Yessefk ad teɣremt adlis-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #645080 (CK) & #4104010 (Amastan)
You must stay the night.	Yessefk ad teqqimed ad tensed.	CC-BY 2.0 (France) Attribution: tatoeba.org #779564 (FeuDRenais) & #4104025 (Amastan)
You must stay the night.	Yessefk ad teqqimem ad tensem.	CC-BY 2.0 (France) Attribution: tatoeba.org #779564 (FeuDRenais) & #4104027 (Amastan)
You must stay the night.	Yessefk ad teqqimemt ad tensemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #779564 (FeuDRenais) & #4104029 (Amastan)
You must've been asleep.	Iban kan tellid teḍḍsed.	CC-BY 2.0 (France) Attribution: tatoeba.org #3178283 (CK) & #4112516 (Amastan)
You must've been asleep.	Iban kan tellam teḍḍsem.	CC-BY 2.0 (France) Attribution: tatoeba.org #3178283 (CK) & #4112517 (Amastan)
You must've been asleep.	Iban kan tellamt teḍḍsemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #3178283 (CK) & #4112518 (Amastan)
You mustn't tell anyone.	Ur yessefk ad tinid i yiwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #2466801 (Hybrid) & #7339181 (Amastan)
You mustn't tell anyone.	Ur yessefk ad tinim i yiwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #2466801 (Hybrid) & #7339182 (Amastan)
You mustn't tell anyone.	Ur yessefk ad tinimt i yiwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #2466801 (Hybrid) & #7339184 (Amastan)
You need an appointment.	Teḥwajed asihaṛ.	CC-BY 2.0 (France) Attribution: tatoeba.org #4529987 (CK) & #8031572 (Amastan)
You need an appointment.	Teḥwajem asihaṛ.	CC-BY 2.0 (France) Attribution: tatoeba.org #4529987 (CK) & #8031573 (Amastan)
You need an appointment.	Teḥwajemt asihaṛ.	CC-BY 2.0 (France) Attribution: tatoeba.org #4529987 (CK) & #8031574 (Amastan)
You need an appointment.	Tesrid asihaṛ.	CC-BY 2.0 (France) Attribution: tatoeba.org #4529987 (CK) & #8031575 (Amastan)
You need an appointment.	Tesrim asihaṛ.	CC-BY 2.0 (France) Attribution: tatoeba.org #4529987 (CK) & #8031577 (Amastan)
You need an appointment.	Tesrimt asihaṛ.	CC-BY 2.0 (France) Attribution: tatoeba.org #4529987 (CK) & #8031578 (Amastan)
You need to be prepared.	Yessefk ad tilid twejded.	CC-BY 2.0 (France) Attribution: tatoeba.org #1829470 (Spamster) & #4544394 (Amastan)
You need to be prepared.	Yessefk ad tilim twejdem.	CC-BY 2.0 (France) Attribution: tatoeba.org #1829470 (Spamster) & #4544395 (Amastan)
You need to be prepared.	Yessefk ad tilimt twejdemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1829470 (Spamster) & #4544396 (Amastan)
You need to lose weight.	Yessefk ad tneqsed deg lmizan.	CC-BY 2.0 (France) Attribution: tatoeba.org #2269454 (Hybrid) & #7339093 (Amastan)
You need to lose weight.	Yessefk ad tneqsem deg lmizan.	CC-BY 2.0 (France) Attribution: tatoeba.org #2269454 (Hybrid) & #7339095 (Amastan)
You need to lose weight.	Yessefk ad tneqsemt deg lmizan.	CC-BY 2.0 (France) Attribution: tatoeba.org #2269454 (Hybrid) & #7339096 (Amastan)
You need to see someone.	Yessefk ad teẓred kra n yiwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #1745606 (Spamster) & #8152788 (Amastan)
You need to see someone.	Yessefk ad teẓrem kra n yiwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #1745606 (Spamster) & #8152790 (Amastan)
You need to see someone.	Yessefk ad teẓremt kra n yiwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #1745606 (Spamster) & #8152791 (Amastan)
You need to work faster.	Yessefk ad tɣiwlem ugar deg umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #3178287 (CK) & #8481703 (Amastan)
You need to work faster.	Yessefk ad tɣiwlemt ugar deg umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #3178287 (CK) & #8481704 (Amastan)
You need to work faster.	Yessefk ad tɣiwled ugar deg umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #3178287 (CK) & #8481705 (Amastan)
You need to work harder.	Yessefk ad ternud ad tcerwed tidi.	CC-BY 2.0 (France) Attribution: tatoeba.org #7859127 (CK) & #8484393 (Amastan)
You need to work harder.	Yessefk ad ternum ad tcerwem tidi.	CC-BY 2.0 (France) Attribution: tatoeba.org #7859127 (CK) & #8484394 (Amastan)
You need to work harder.	Yessefk ad ternumt ad tcerwemt tidi.	CC-BY 2.0 (France) Attribution: tatoeba.org #7859127 (CK) & #8484396 (Amastan)
You or I will be chosen.	Yiwen seg-neɣ ad yettwafren, d nekk neɣ d kecc.	CC-BY 2.0 (France) Attribution: tatoeba.org #17724 (CK) & #1770243 (Amastan)
You or I will be chosen.	Yiwen seg-neɣ ad yettwafren, d nekk neɣ d kemm.	CC-BY 2.0 (France) Attribution: tatoeba.org #17724 (CK) & #1770245 (Amastan)
You people do good work.	Kenwi, a imeddukal, tettgem amahil yelhan.	CC-BY 2.0 (France) Attribution: tatoeba.org #2954673 (CK) & #8481622 (Amastan)
You play games too much.	Tetturared aṭas uraren.	CC-BY 2.0 (France) Attribution: tatoeba.org #3331003 (CK) & #5730680 (Amastan)
You play games too much.	Tetturared uraren aṭas.	CC-BY 2.0 (France) Attribution: tatoeba.org #3331003 (CK) & #5730681 (Amastan)
You said you were happy.	Tennid-d tumared.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645129 (CK) & #4187277 (Amastan)
You said you were happy.	Tennid-d tfeṛḥed.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645129 (CK) & #4187278 (Amastan)
You said you were happy.	Tennam-d tumarem.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645129 (CK) & #4187279 (Amastan)
You said you were happy.	Tennamt-d tumaremt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645129 (CK) & #4187280 (Amastan)
You said you were happy.	Tennam-d tfeṛḥem.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645129 (CK) & #4187281 (Amastan)
You said you were happy.	Tennamt-d tfeṛḥemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645129 (CK) & #4187283 (Amastan)
You seemed to like that.	Tbaned-d yeɛjeb-ik waya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2213908 (Hybrid) & #7338783 (Amastan)
You seemed to like that.	Tbaned-d yeɛjeb-ikem waya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2213908 (Hybrid) & #7338787 (Amastan)
You seemed to like that.	Tbanem-d yeɛjeb-iken waya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2213908 (Hybrid) & #7338788 (Amastan)
You seemed to like that.	Tbanemt-d yeɛjeb-ikent waya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2213908 (Hybrid) & #7338790 (Amastan)
You should ask a doctor.	A win yufan ad tettred imsujji.	CC-BY 2.0 (France) Attribution: tatoeba.org #3608116 (panamicua) & #8150337 (Amastan)
You should ask a doctor.	A win yufan ad tettred timsujjit.	CC-BY 2.0 (France) Attribution: tatoeba.org #3608116 (panamicua) & #8150338 (Amastan)
You should ask a doctor.	A win yufan ad tettrem imsujji.	CC-BY 2.0 (France) Attribution: tatoeba.org #3608116 (panamicua) & #8150339 (Amastan)
You should ask a doctor.	A win yufan ad tettremt imsujji.	CC-BY 2.0 (France) Attribution: tatoeba.org #3608116 (panamicua) & #8150340 (Amastan)
You should ask a doctor.	A win yufan ad tettrem timsujjit.	CC-BY 2.0 (France) Attribution: tatoeba.org #3608116 (panamicua) & #8150341 (Amastan)
You should ask a doctor.	A win yufan ad tettremt timsujjit.	CC-BY 2.0 (France) Attribution: tatoeba.org #3608116 (panamicua) & #8150342 (Amastan)
You should be a teacher.	A win yufan ad teqqled d aselmad.	CC-BY 2.0 (France) Attribution: tatoeba.org #2954715 (CK) & #8059785 (Amastan)
You should be a teacher.	A win yufan ad teqqled d taselmadt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2954715 (CK) & #8059786 (Amastan)
You should be a teacher.	Yelha ma teqqled d aselmad.	CC-BY 2.0 (France) Attribution: tatoeba.org #2954715 (CK) & #8059788 (Amastan)
You should be a teacher.	Yelha ma teqqled d taselmadt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2954715 (CK) & #8059789 (Amastan)
You should be in charge.	A win yufan d kečč ara d-yelhun s waya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2195103 (Hybrid) & #7338587 (Amastan)
You should be in charge.	A win yufan d kemm ara d-yelhun s waya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2195103 (Hybrid) & #7338588 (Amastan)
You should be in charge.	A win yufan d kečč ara yilin d amasay.	CC-BY 2.0 (France) Attribution: tatoeba.org #2195103 (Hybrid) & #7338589 (Amastan)
You should be in charge.	A win yufan d kemm ara yilin d tamasayt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2195103 (Hybrid) & #7338590 (Amastan)
You should do that soon.	Yessefk ad tgeḍ aya ɣef zik lḥal.	CC-BY 2.0 (France) Attribution: tatoeba.org #483606 (CK) & #1733498 (Amastan)
You should go to school.	Yessefk ad tedduḍ s aɣerbaz.	CC-BY 2.0 (France) Attribution: tatoeba.org #1430137 (CK) & #1752856 (Amastan)
You should leave Boston.	A win yufan ad teddud seg Boston.	CC-BY 2.0 (France) Attribution: tatoeba.org #6269972 (CK) & #9374132 (Amastan)
You should leave Boston.	A win yufan ad tedduḍ seg Boston.	CC-BY 2.0 (France) Attribution: tatoeba.org #6269972 (CK) & #9374133 (Amastan)
You should leave Boston.	A win yufan ad teddum seg Boston.	CC-BY 2.0 (France) Attribution: tatoeba.org #6269972 (CK) & #9374135 (Amastan)
You should leave Boston.	A win yufan ad teddumt seg Boston.	CC-BY 2.0 (France) Attribution: tatoeba.org #6269972 (CK) & #9374136 (Amastan)
You should see a doctor.	A win yufan ad teẓreḍ imsujji.	CC-BY 2.0 (France) Attribution: tatoeba.org #405716 (CK) & #1736547 (Amastan)
You should study harder.	Yessefk ad teɣreḍ xir.	CC-BY 2.0 (France) Attribution: tatoeba.org #16356 (CK) & #1655871 (Amastan)
You should visit Boston.	Yessefk ad terzud ɣef Boston.	CC-BY 2.0 (France) Attribution: tatoeba.org #3023137 (CK) & #9098035 (Amastan)
You should visit Boston.	Yessefk ad terzum ɣef Boston.	CC-BY 2.0 (France) Attribution: tatoeba.org #3023137 (CK) & #9098036 (Amastan)
You should visit Boston.	Yessefk ad terzumt ɣef Boston.	CC-BY 2.0 (France) Attribution: tatoeba.org #3023137 (CK) & #9098037 (Amastan)
You should've called me.	Yella yessefk ad iyi-d-teɣred.	CC-BY 2.0 (France) Attribution: tatoeba.org #2718627 (CK) & #8151977 (Amastan)
You should've called me.	Yella yessefk ad iyi-d-teɣrem.	CC-BY 2.0 (France) Attribution: tatoeba.org #2718627 (CK) & #8151978 (Amastan)
You should've called me.	Yella yessefk ad iyi-d-teɣremt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2718627 (CK) & #8151979 (Amastan)
You should've called me.	Tili ad iyi-d-teɣred.	CC-BY 2.0 (France) Attribution: tatoeba.org #2718627 (CK) & #8151981 (Amastan)
You should've called me.	Tili ad iyi-d-teɣrem.	CC-BY 2.0 (France) Attribution: tatoeba.org #2718627 (CK) & #8151983 (Amastan)
You should've called me.	Tili ad iyi-d-teɣremt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2718627 (CK) & #8151984 (Amastan)
You sound just like Tom.	Tessawaled swaswa am Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2986565 (CK) & #9053048 (Amastan)
You sound just like Tom.	Tessawalem swaswa am Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2986565 (CK) & #9053049 (Amastan)
You sound just like Tom.	Tessawalemt swaswa am Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2986565 (CK) & #9053051 (Amastan)
You surprised everybody.	Teswehmed akk medden.	CC-BY 2.0 (France) Attribution: tatoeba.org #16416 (CK) & #8023096 (Amastan)
You surprised everybody.	Teswehmem akk medden.	CC-BY 2.0 (France) Attribution: tatoeba.org #16416 (CK) & #8023097 (Amastan)
You surprised everybody.	Teswehmemt akk medden.	CC-BY 2.0 (France) Attribution: tatoeba.org #16416 (CK) & #8023098 (Amastan)
You surprised everybody.	Tessukaned akk medden.	CC-BY 2.0 (France) Attribution: tatoeba.org #16416 (CK) & #8023099 (Amastan)
You surprised everybody.	Tessukanem akk medden.	CC-BY 2.0 (France) Attribution: tatoeba.org #16416 (CK) & #8023101 (Amastan)
You surprised everybody.	Tessukanemt akk medden.	CC-BY 2.0 (France) Attribution: tatoeba.org #16416 (CK) & #8023102 (Amastan)
You told me so yourself.	D kecc s timmad-nnek ay iyi-d-yennan aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #68775 (CK) & #1818823 (Amastan)
You trust me, don't you?	Tettged deg-i laman, naɣ?	CC-BY 2.0 (France) Attribution: tatoeba.org #2288227 (CK) & #2859110 (Amastan)
You trust me, don't you?	Tettgeḍ deg-i laman, naɣ?	CC-BY 2.0 (France) Attribution: tatoeba.org #2288227 (CK) & #2859111 (Amastan)
You trust me, don't you?	Tettgem deg-i laman, naɣ?	CC-BY 2.0 (France) Attribution: tatoeba.org #2288227 (CK) & #2859112 (Amastan)
You trust me, don't you?	Tettgemt deg-i laman, naɣ?	CC-BY 2.0 (France) Attribution: tatoeba.org #2288227 (CK) & #2859113 (Amastan)
You were a good teacher.	Tellid d aselmad yelhan.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645127 (CK) & #8059770 (Amastan)
You were a good teacher.	Tellid d taselmadt yelhan.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645127 (CK) & #8059771 (Amastan)
You were right to worry.	Telliḍ tesεiḍ ad tetqellqeḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #5028370 (CK) & #7705392 (Yagurten)
You were right to worry.	Telliḍ tesεiḍ lḥeqq ad tetqellqeḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #5028370 (CK) & #7705910 (Yagurten)
You will be on your own.	Ad tiliḍ weḥd-k.	CC-BY 2.0 (France) Attribution: tatoeba.org #3725874 (CM) & #7722225 (Yagurten)
You will be on your own.	Ad teqqimeḍ weḥd-k.	CC-BY 2.0 (France) Attribution: tatoeba.org #3725874 (CM) & #7722226 (Yagurten)
You work more than I do.	Tettmahaled ugar n wanect ay ttmahaleɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #7791511 (CK) & #8494575 (Amastan)
You work more than I do.	Tettmahalem ugar n wanect ay ttmahaleɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #7791511 (CK) & #8494577 (Amastan)
You work more than I do.	Tettmahalemt ugar n wanect ay ttmahaleɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #7791511 (CK) & #8494579 (Amastan)
You work more than I do.	Kečč tettmahaled ugar n wanect ay ttmahaleɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #7791511 (CK) & #8494580 (Amastan)
You work more than I do.	Kemm tettmahaled ugar n wanect ay ttmahaleɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #7791511 (CK) & #8494581 (Amastan)
You work more than I do.	Kenwi tettmahalem ugar n wanect ay ttmahaleɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #7791511 (CK) & #8494582 (Amastan)
You work more than I do.	Kennemti tettmahalemt ugar n wanect ay ttmahaleɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #7791511 (CK) & #8494583 (Amastan)
You wouldn't believe me.	Ur iyi-tettamned ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105104 (Amastan)
You wouldn't believe me.	Ur iyi-tettamnem ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105105 (Amastan)
You wouldn't believe me.	Ur iyi-tettamnemt ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105106 (Amastan)
You wouldn't believe me.	Ur cikkeɣ ara ad iyi-tamned.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105107 (Amastan)
You wouldn't believe me.	Ur cikkeɣ ara ad iyi-tamnem.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105108 (Amastan)
You wouldn't believe me.	Ur cikkeɣ ara ad iyi-tamnemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105109 (Amastan)
You wouldn't believe me.	Ur iyi-tfellsed ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105110 (Amastan)
You wouldn't believe me.	Ur iyi-tfellsem ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105112 (Amastan)
You wouldn't believe me.	Ur iyi-tfellsemt ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105113 (Amastan)
You wouldn't believe me.	Ur cikkeɣ ara ad iyi-tfelsed.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105115 (Amastan)
You wouldn't believe me.	Ur cikkeɣ ara ad iyi-tfelsem.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105116 (Amastan)
You wouldn't believe me.	Ur cikkeɣ ara ad iyi-tfelsemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545663 (CK) & #9105117 (Amastan)
You'd better not go out.	Yif-it ma ur tetteffɣeḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #69219 (CK) & #1755029 (Amastan)
You'll be busy tomorrow.	Azekka ad tesɛuḍ ccɣel.	CC-BY 2.0 (France) Attribution: tatoeba.org #2713450 (CK) & #1689993 (Amastan)
You'll be busy tomorrow.	Azekka ad tesɛum ccɣel.	CC-BY 2.0 (France) Attribution: tatoeba.org #2713450 (CK) & #8807987 (Amastan)
You'll be busy tomorrow.	Azekka ad tesɛumt ccɣel.	CC-BY 2.0 (France) Attribution: tatoeba.org #2713450 (CK) & #8807988 (Amastan)
You'll be busy tomorrow.	Azekka ad tled ccɣel.	CC-BY 2.0 (France) Attribution: tatoeba.org #2713450 (CK) & #8807990 (Amastan)
You'll be busy tomorrow.	Azekka ad tlem ccɣel.	CC-BY 2.0 (France) Attribution: tatoeba.org #2713450 (CK) & #8807991 (Amastan)
You'll be busy tomorrow.	Azekka ad tlemt ccɣel.	CC-BY 2.0 (France) Attribution: tatoeba.org #2713450 (CK) & #8807992 (Amastan)
You'll be late for work.	Aql-ik ad tɛeṭṭled ɣef umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545661 (CK) & #8485023 (Amastan)
You'll be late for work.	Aql-ik ad tɛeḍḍled ɣef umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545661 (CK) & #8485025 (Amastan)
You'll be late for work.	Aql-ikem ad tɛeṭṭled ɣef umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545661 (CK) & #8485026 (Amastan)
You'll be late for work.	Aql-ikem ad tɛeḍḍled ɣef umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545661 (CK) & #8485027 (Amastan)
You'll be late for work.	Aql-iken ad tɛeṭṭlem ɣef umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545661 (CK) & #8485029 (Amastan)
You'll be late for work.	Aql-iken ad tɛeḍḍlem ɣef umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545661 (CK) & #8485030 (Amastan)
You'll be late for work.	Aql-ikent ad tɛeṭṭlemt ɣef umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545661 (CK) & #8485031 (Amastan)
You'll be late for work.	Aql-ikent ad tɛeḍḍlemt ɣef umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545661 (CK) & #8485033 (Amastan)
You'll never believe it.	Werǧin ad tamned aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645123 (CK) & #9107825 (Amastan)
You'll never believe it.	Werǧin ad tamnem aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645123 (CK) & #9107826 (Amastan)
You'll never believe it.	Werǧin ad tamnemt aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645123 (CK) & #9107828 (Amastan)
You'll never believe it.	Werǧin ad tfelsed aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645123 (CK) & #9107853 (Amastan)
You'll never believe it.	Werǧin ad tfelsem aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645123 (CK) & #9107855 (Amastan)
You'll never believe it.	Werǧin ad tfelsemt aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645123 (CK) & #9107856 (Amastan)
You'll never understand.	Werǧin ad tfehmed.	CC-BY 2.0 (France) Attribution: tatoeba.org #2260238 (Hybrid) & #7335724 (Amastan)
You'll never understand.	Werǧin ad tfehmem.	CC-BY 2.0 (France) Attribution: tatoeba.org #2260238 (Hybrid) & #7335725 (Amastan)
You'll never understand.	Werǧin ad tfehmemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2260238 (Hybrid) & #7335727 (Amastan)
You'll never understand.	Werǧin ad tegzud.	CC-BY 2.0 (France) Attribution: tatoeba.org #2260238 (Hybrid) & #7335729 (Amastan)
You'll never understand.	Werǧin ad tegzum.	CC-BY 2.0 (France) Attribution: tatoeba.org #2260238 (Hybrid) & #7335730 (Amastan)
You'll never understand.	Werǧin ad tegzumt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2260238 (Hybrid) & #7335731 (Amastan)
You're a bright student.	Kečč d amezraw uẓwir.	CC-BY 2.0 (France) Attribution: tatoeba.org #6269939 (CK) & #8069168 (Amastan)
You're a bright student.	Kemm d tamezrawt tuẓwirt.	CC-BY 2.0 (France) Attribution: tatoeba.org #6269939 (CK) & #8069169 (Amastan)
You're absolutely right.	Ulac ccek dakken tesεiḍ lḥeqq.	CC-BY 2.0 (France) Attribution: tatoeba.org #737667 (Eldad) & #7706101 (Yagurten)
You're average students.	Kenwi d imezrawen ilemmasen.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218086 (CK) & #8068963 (Amastan)
You're average students.	Kennemti d timezrawin tilemmasin.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218086 (CK) & #8068965 (Amastan)
You're being irrational.	Aql-ik d aruṣwib.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218103 (CK) & #8422881 (Amastan)
You're being irrational.	Aql-ikem d taruṣwibt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218103 (CK) & #8422882 (Amastan)
You're being irrational.	Aql-iken d iruṣwiben.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218103 (CK) & #8422883 (Amastan)
You're being irrational.	Aql-ikent d tiruṣwibin.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218103 (CK) & #8422884 (Amastan)
You're being ridiculous.	Aql-ik d azulal.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218106 (CK) & #8422885 (Amastan)
You're being ridiculous.	Aql-ikem d tazulalt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218106 (CK) & #8422886 (Amastan)
You're being ridiculous.	Aql-iken d izulalen.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218106 (CK) & #8422887 (Amastan)
You're being ridiculous.	Aql-ikent d tizulalin.	CC-BY 2.0 (France) Attribution: tatoeba.org #2218106 (CK) & #8422888 (Amastan)
You're doing great work.	Aql-ik tettged amahil igerrzen.	CC-BY 2.0 (France) Attribution: tatoeba.org #3360319 (CK) & #8474731 (Amastan)
You're doing great work.	Aql-ikem tettged amahil igerrzen.	CC-BY 2.0 (France) Attribution: tatoeba.org #3360319 (CK) & #8474732 (Amastan)
You're doing great work.	Aql-iken tettgem amahil igerrzen.	CC-BY 2.0 (France) Attribution: tatoeba.org #3360319 (CK) & #8474733 (Amastan)
You're doing great work.	Aql-ikent tettgemt amahil igerrzen.	CC-BY 2.0 (France) Attribution: tatoeba.org #3360319 (CK) & #8474734 (Amastan)
You're driving too fast.	La tessenhaṛeḍ s tɣawla.	CC-BY 2.0 (France) Attribution: tatoeba.org #51828 (CK) & #8421257 (Afalku)
You're here, aren't you?	Aql-ik da, naɣ?	CC-BY 2.0 (France) Attribution: tatoeba.org #3354121 (CK) & #8196686 (Yagurten)
You're like your sister.	Kečč am weltma-k.	CC-BY 2.0 (France) Attribution: tatoeba.org #7022179 (shekitten) & #7101127 (Amastan)
